title,authors,original_publication_year,average_rating
"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPré",2003.0,4.77
"Harry Potter Boxset (Harry Potter, #1-7)",J.K. Rowling,1998.0,4.74
"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,2005.0,4.73
"The Harry Potter Collection 1-4 (Harry Potter, #1-4)","J.K. Rowling, Mary GrandPré",1999.0,4.66
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007.0,4.61
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005.0,4.54
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,4.53
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000.0,4.53
Harry Potter: Film Wizardry,Brian Sibley,2010.0,4.48
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003.0,4.46
